,Player,Nation,Competition,Club,Age,Pos
21078,Keenan Phillips,za RSA,South African Premier Division,Moroka Swallows,23,DF
21079,Bongani Sam,za RSA,South African Premier Division,Moroka Swallows,26,DF
21080,Tshegofatso Mabaso,za RSA,South African Premier Division,Moroka Swallows,27,FW
21081,Vusi Sibiya,za RSA,South African Premier Division,Moroka Swallows,29,DF
21082,Lantshene Phalane,za RSA,South African Premier Division,Moroka Swallows,34,MF
21083,Ntsako Makhubela,za RSA,South African Premier Division,Moroka Swallows,29,MF
21084,Lindokuhle Mtshali,za RSA,South African Premier Division,Moroka Swallows,25,MF
21085,Andile Jali,za RSA,South African Premier Division,Moroka Swallows,33,MF
21086,Kagiso Malinga,za RSA,South African Premier Division,Moroka Swallows,28,"FW,MF"
21087,Keegan Allan,za RSA,South African Premier Division,Moroka Swallows,23,DF
21088,Gabadinho Mhango,mw MWI,South African Premier Division,Moroka Swallows,31,FW
21089,Tlakusani Mthethwa,za RSA,South African Premier Division,Moroka Swallows,30,MF
21090,Kwanda Mngonyama,za RSA,South African Premier Division,Moroka Swallows,30,DF
21091,Tshidiso Patjie,za RSA,South African Premier Division,Moroka Swallows,33,MF
21092,Dumisani Zuma,za RSA,South African Premier Division,Moroka Swallows,28,MF
21093,Sipho Sibiya,za RSA,South African Premier Division,Moroka Swallows,32,DF
21094,Junaid Sait,za RSA,South African Premier Division,Moroka Swallows,30,DF
21095,Tshanini Falakhe,za RSA,South African Premier Division,Moroka Swallows,27,DF
21096,Mthokozisi Shwabule,za RSA,South African Premier Division,Moroka Swallows,27,MF
21097,Thabang Maponya,za RSA,South African Premier Division,Moroka Swallows,28,MF
21098,Daweron van Rhyn,N/I,South African Premier Division,Moroka Swallows,0,MF
21099,Owethu Khumalo,N/I,South African Premier Division,Moroka Swallows,0,MF
21100,Wandisile Letlabika,za RSA,South African Premier Division,Moroka Swallows,34,DF
21101,Mbulelo Wambi,za RSA,South African Premier Division,Moroka Swallows,37,MF
21102,Gregory Damons,za RSA,South African Premier Division,Moroka Swallows,28,DF
21103,Tumelo Mangweni,za RSA,South African Premier Division,Moroka Swallows,29,MF
21104,Siyabonga Khumalo,za RSA,South African Premier Division,Moroka Swallows,20,MF
21105,Thakasani Mbanjwa,za RSA,South African Premier Division,Moroka Swallows,27,GK
21106,Thandolwethu Ngwenya,N/I,South African Premier Division,Moroka Swallows,0,DF
21107,Mkhuseli Rampa,N/I,South African Premier Division,Moroka Swallows,0,MF
21108,David Uromi,tz TAN,South African Premier Division,Moroka Swallows,24,MF
21109,Riaan Hanamub,na NAM,South African Premier Division,AmaZulu,28,"DF,MF"
21110,Ramahlwe Mphahlele,za RSA,South African Premier Division,AmaZulu,33,DF
21111,Ethan Brook,za RSA,South African Premier Division,AmaZulu,0,MF
21112,Mbongeni Gumede,za RSA,South African Premier Division,AmaZulu,30,DF
21113,Veli Mothwa,za RSA,South African Premier Division,AmaZulu,32,GK
21114,Abbubaker Mobara,za RSA,South African Premier Division,AmaZulu,29,"DF,MF"
21115,Wayde Jooste,za RSA,South African Premier Division,AmaZulu,31,MF
21116,Celimpilo Ngema,za RSA,South African Premier Division,AmaZulu,26,"MF,FW"
21117,Tshepang Moremi,za RSA,South African Premier Division,AmaZulu,23,"MF,FW"
21118,Thembela Sikhakhane,za RSA,South African Premier Division,AmaZulu,30,"DF,MF"
21119,Pule Ekstein,za RSA,South African Premier Division,AmaZulu,33,"FW,MF"
21120,Augustine Chidi Kwem,ng NGA,South African Premier Division,AmaZulu,26,FW
21121,Sédé Junior Dion,ci CIV,South African Premier Division,AmaZulu,30,FW
21122,Ben Motshwari,za RSA,South African Premier Division,AmaZulu,32,MF
21123,Taariq Fielies,za RSA,South African Premier Division,AmaZulu,31,DF
21124,Tercious Malepe,za RSA,South African Premier Division,AmaZulu,26,MF
21125,Olwethu Mzimela,za RSA,South African Premier Division,AmaZulu,22,GK
21126,Victor Letsoalo,za RSA,South African Premier Division,AmaZulu,30,FW
21127,Mondli Mbanjwa,za RSA,South African Premier Division,AmaZulu,25,MF
21128,Bongi Ntuli,za RSA,South African Premier Division,AmaZulu,32,FW
21129,Veluyeke Zulu,za RSA,South African Premier Division,AmaZulu,28,DF
21130,Rowan Human,za RSA,South African Premier Division,AmaZulu,22,FW
21131,George Maluleka,za RSA,South African Premier Division,AmaZulu,35,MF
21132,Sibusiso Mabiliso,za RSA,South African Premier Division,AmaZulu,24,DF
21133,Msindisi Ndlovu,za RSA,South African Premier Division,AmaZulu,22,MF
21134,Siyanda Hlangabeza,za RSA,South African Premier Division,AmaZulu,21,MF
21135,Andile Mbanjwa,za RSA,South African Premier Division,AmaZulu,25,GK
21136,Lebohang Nkaki,N/I,South African Premier Division,Polokwane City,0,DF
21137,Tholo Matuludi,za RSA,South African Premier Division,Polokwane City,25,DF
21138,Given Mashikinya,za RSA,South African Premier Division,Polokwane City,32,MF
21139,Oswin Appollis,za RSA,South African Premier Division,Polokwane City,22,MF
21140,Bulelani Nikani,za RSA,South African Premier Division,Polokwane City,30,DF
21141,Mokibelo Ramabu,za RSA,South African Premier Division,Polokwane City,21,MF
21142,Ndamulelo Maphangule,za RSA,South African Premier Division,Polokwane City,26,MF
21143,Langelihle Ndlovu,za RSA,South African Premier Division,Polokwane City,0,DF
21144,Manuel Sapunga,gq EQG,South African Premier Division,Polokwane City,31,GK
21145,Douglas Mapfumo,N/I,South African Premier Division,Polokwane City,0,FW
21146,Ndumiso Mabena,za RSA,South African Premier Division,Polokwane City,36,"MF,FW"
21147,Lindokuhle Mathebula,za RSA,South African Premier Division,Polokwane City,30,GK
21148,Hlayisi Chauke,za RSA,South African Premier Division,Polokwane City,22,FW
21149,Tlou Nkwe,N/I,South African Premier Division,Polokwane City,0,DF
21150,Samuel Nana,N/I,South African Premier Division,Polokwane City,0,MF
21151,Nyakala Raphadu,za RSA,South African Premier Division,Polokwane City,26,"MF,FW"
21152,Kambala,mz MOZ,South African Premier Division,Polokwane City,32,MF
21153,Puleng Tlolane,za RSA,South African Premier Division,Polokwane City,32,FW
21154,Francis Baloyi,za RSA,South African Premier Division,Polokwane City,31,DF
21155,Luciano Van Heerden,za RSA,South African Premier Division,Polokwane City,28,MF
21156,Lindokuhle Dhladhla,za RSA,South African Premier Division,Polokwane City,23,MF
21157,Stevens Goovadia,za RSA,South African Premier Division,Polokwane City,23,MF
21158,Lucky Baloyi,za RSA,South African Premier Division,Polokwane City,32,"DF,MF"
21159,Andile Fikizolo,za RSA,South African Premier Division,Polokwane City,29,MF
21160,Tumi Ngwepe,za RSA,South African Premier Division,Polokwane City,29,MF
21161,Ntlweleng Thuto,N/I,South African Premier Division,Polokwane City,0,MF
21162,Amos Mokwena,za RSA,South African Premier Division,Polokwane City,24,GK
21163,Masizakhe Myataza,za RSA,South African Premier Division,Polokwane City,27,GK
21164,Yusuf Maart,za RSA,South African Premier Division,Kaizer Chiefs,28,MF
21165,Edson Castillo,ve VEN,South African Premier Division,Kaizer Chiefs,29,MF
21166,Given Msimango,za RSA,South African Premier Division,Kaizer Chiefs,26,DF
21167,Reeve Frosler,za RSA,South African Premier Division,Kaizer Chiefs,26,DF
21168,Thatayaone Ditlhokwe,bw BOT,South African Premier Division,Kaizer Chiefs,25,DF
21169,Pule Mmodi,za RSA,South African Premier Division,Kaizer Chiefs,30,FW
21170,Sifiso Hlanti,za RSA,South African Premier Division,Kaizer Chiefs,33,DF
21171,Christian Saile,N/I,South African Premier Division,Kaizer Chiefs,24,"FW,MF"
21172,Ashley Du Preez,za RSA,South African Premier Division,Kaizer Chiefs,26,"FW,MF"
21173,Edmilson Gabriel Dove,mz MOZ,South African Premier Division,Kaizer Chiefs,29,DF
21174,Brandon Peterson,za RSA,South African Premier Division,Kaizer Chiefs,29,GK
21175,Nkosingiphile Ngcobo,za RSA,South African Premier Division,Kaizer Chiefs,24,MF
21176,Ranga Piniel Chivaviro,za RSA,South African Premier Division,Kaizer Chiefs,31,FW
21177,Sibongiseni Mthethwa,za RSA,South African Premier Division,Kaizer Chiefs,29,MF
21178,Zitha Kwinika,za RSA,South African Premier Division,Kaizer Chiefs,30,DF
21179,Bruce Bvuma,za RSA,South African Premier Division,Kaizer Chiefs,28,GK
21180,Itumeleng Khune,za RSA,South African Premier Division,Kaizer Chiefs,36,GK
21181,Efmamjjasond González,co COL,South African Premier Division,Kaizer Chiefs,24,FW
21182,Mduduzi Shabalala,za RSA,South African Premier Division,Kaizer Chiefs,20,"FW,MF"
21183,Lehlogonolo Matlou,za RSA,South African Premier Division,Kaizer Chiefs,25,MF
21184,Njabulo Ngcobo,za RSA,South African Premier Division,Kaizer Chiefs,29,DF
21185,Mduduzi Mdantsane,za RSA,South African Premier Division,Kaizer Chiefs,29,MF
21186,Tebogo Potsane,za RSA,South African Premier Division,Kaizer Chiefs,30,FW
21187,Keagan Dolly,za RSA,South African Premier Division,Kaizer Chiefs,30,"FW,MF"
21188,Siyethemba Sithebe,za RSA,South African Premier Division,Kaizer Chiefs,31,MF
21189,Samkelo Zwane,za RSA,South African Premier Division,Kaizer Chiefs,22,MF
21190,Dillon Solomons,za RSA,South African Premier Division,Kaizer Chiefs,27,DF
21191,Sabelo Radebe,za RSA,South African Premier Division,Kaizer Chiefs,23,MF
21192,Happy Mashiane,za RSA,South African Premier Division,Kaizer Chiefs,26,MF
21193,Devon Titus,za RSA,South African Premier Division,Stellenbosch FC,23,"MF,FW"
21194,Ismaël Olivier Touré,ci CIV,South African Premier Division,Stellenbosch FC,26,DF
21195,David Van Rooyen,za RSA,South African Premier Division,Stellenbosch FC,27,DF
21196,Iqraam Rayners,za RSA,South African Premier Division,Stellenbosch FC,28,FW
21197,Jayden Adams,za RSA,South African Premier Division,Stellenbosch FC,22,MF
21198,Brendon Moloisane,za RSA,South African Premier Division,Stellenbosch FC,24,DF
21199,Sage Stephens,za RSA,South African Premier Division,Stellenbosch FC,32,GK
21200,Fawaaz Basadien,za RSA,South African Premier Division,Stellenbosch FC,27,DF
21201,Genino Palace,za RSA,South African Premier Division,Stellenbosch FC,25,"MF,FW"
21202,Andre de Jong,nz NZL,South African Premier Division,Stellenbosch FC,27,"FW,MF"
21203,Anicet Oura,ci CIV,South African Premier Division,Stellenbosch FC,24,"FW,MF"
21204,Sibongiseni Mthethwa,za RSA,South African Premier Division,Stellenbosch FC,29,MF
21205,Qobolwakhe Sibande,za RSA,South African Premier Division,Stellenbosch FC,23,"DF,FW"
21206,Sihle Nduli,za RSA,South African Premier Division,Stellenbosch FC,28,MF
21207,Darrel Matsheke,za RSA,South African Premier Division,Stellenbosch FC,25,MF
21208,Athenkosi Mcaba,za RSA,South African Premier Division,Stellenbosch FC,22,DF
21209,Kgaogelo Sekgota,za RSA,South African Premier Division,Stellenbosch FC,26,MF
21210,Nhlanhla Mgaga,za RSA,South African Premier Division,Stellenbosch FC,27,MF
21211,Oscarine Masuluke,za RSA,South African Premier Division,Stellenbosch FC,30,GK
21212,Antonio Van Wyk,za RSA,South African Premier Division,Stellenbosch FC,21,"MF,FW"
21213,Kyle Jurgens,za RSA,South African Premier Division,Stellenbosch FC,20,DF
21214,Lee Langeveldt,za RSA,South African Premier Division,Stellenbosch FC,37,GK
21215,Mash Mphahlele,za RSA,South African Premier Division,Stellenbosch FC,0,DF
21216,Mervin Boji,za RSA,South African Premier Division,Stellenbosch FC,22,FW
21217,Salifu Colley,gm GAM,South African Premier Division,Stellenbosch FC,20,FW
21218,Liam De Kock,za RSA,South African Premier Division,Stellenbosch FC,22,MF
21219,Thulani Mini,za RSA,South African Premier Division,Stellenbosch FC,22,FW
21220,Prince Amponsah,us USA,South African Premier Division,Stellenbosch FC,20,DF
21221,MacBeth Mahlangu,za RSA,South African Premier Division,TS Galaxy,22,DF
